361240:8317,1:1,10/28/22 03:22:52,STABLE BEAMS,6800,366599.204669768,356320.293333943,45.6,BCM1FUT
361240:8317,2:2,10/28/22 03:23:15,STABLE BEAMS,6800,367120.130649347,351505.288744331,45.7,BCM1FUT
361240:8317,3:3,10/28/22 03:23:38,STABLE BEAMS,6800,367049.312502573,353739.230633670,45.7,BCM1FUT
361240:8317,4:4,10/28/22 03:24:02,STABLE BEAMS,6800,366738.812925538,349148.475738584,45.6,BCM1FUT
361240:8317,5:5,10/28/22 03:24:25,STABLE BEAMS,6800,367464.500788352,344600.286326054,45.7,BCM1FUT
361240:8317,6:6,10/28/22 03:24:48,STABLE BEAMS,6800,367070.082406713,355658.080722500,45.7,BCM1FUT
361240:8317,7:7,10/28/22 03:25:12,STABLE BEAMS,6800,367037.447316033,352212.561091690,45.7,BCM1FUT
361240:8317,8:8,10/28/22 03:25:35,STABLE BEAMS,6800,367323.703682850,356767.580562483,45.7,BCM1FUT
361240:8317,9:9,10/28/22 03:25:58,STABLE BEAMS,6800,367208.874785216,351346.728825187,45.7,BCM1FUT
361240:8317,10:10,10/28/22 03:26:21,STABLE BEAMS,6800,367539.887847821,355723.047863731,45.7,BCM1FUT
361240:8317,11:11,10/28/22 03:26:45,STABLE BEAMS,6800,367011.222689595,352296.060302271,45.7,BCM1FUT
361240:8317,12:12,10/28/22 03:27:08,STABLE BEAMS,6800,366590.066844377,357224.285345761,45.7,BCM1FUT
361240:8317,13:13,10/28/22 03:27:31,STABLE BEAMS,6800,366561.184789126,358339.146664926,45.6,BCM1FUT
361240:8317,14:14,10/28/22 03:27:55,STABLE BEAMS,6800,366579.646926139,348140.494341393,45.6,BCM1FUT
361240:8317,15:15,10/28/22 03:28:18,STABLE BEAMS,6800,366851.194191371,288536.697155771,45.7,BCM1FUT
361240:8317,16:16,10/28/22 03:28:41,STABLE BEAMS,6800,366580.183074057,281784.240475642,45.7,BCM1FUT
361240:8317,17:17,10/28/22 03:29:05,STABLE BEAMS,6800,366547.221632471,355379.330426541,45.7,BCM1FUT
361240:8317,18:18,10/28/22 03:29:28,STABLE BEAMS,6800,366249.892645603,352608.168323061,45.6,BCM1FUT
361240:8317,19:19,10/28/22 03:29:51,STABLE BEAMS,6800,366182.850845036,348605.870734481,45.6,BCM1FUT
361240:8317,20:20,10/28/22 03:30:15,STABLE BEAMS,6800,366300.686833168,354312.699109244,45.6,BCM1FUT
361240:8317,21:21,10/28/22 03:30:38,STABLE BEAMS,6800,366341.200967168,320686.807076857,45.6,BCM1FUT
361240:8317,22:22,10/28/22 03:31:01,STABLE BEAMS,6800,366360.432359890,353043.054217142,45.6,BCM1FUT
361240:8317,23:23,10/28/22 03:31:25,STABLE BEAMS,6800,366247.211906012,324612.831796364,45.6,BCM1FUT
361240:8317,24:24,10/28/22 03:31:48,STABLE BEAMS,6800,366264.158842386,351579.253846278,45.6,BCM1FUT
361240:8317,25:25,10/28/22 03:32:11,STABLE BEAMS,6800,366170.426199799,355438.050278984,45.6,BCM1FUT
361240:8317,26:26,10/28/22 03:32:35,STABLE BEAMS,6800,365943.612319577,351114.693330457,45.6,BCM1FUT
361240:8317,27:27,10/28/22 03:32:58,STABLE BEAMS,6800,365776.963560101,353771.679238117,45.6,BCM1FUT
361240:8317,28:28,10/28/22 03:33:21,STABLE BEAMS,6800,365807.314194433,336280.272997479,45.6,BCM1FUT
361240:8317,29:29,10/28/22 03:33:44,STABLE BEAMS,6800,365905.942100622,353743.473195459,45.6,BCM1FUT
361240:8317,30:30,10/28/22 03:34:08,STABLE BEAMS,6800,365745.330832921,353845.457853832,45.6,BCM1FUT
361240:8317,31:31,10/28/22 03:34:31,STABLE BEAMS,6800,365462.058245824,354510.491069540,45.5,BCM1FUT
361240:8317,32:32,10/28/22 03:34:54,STABLE BEAMS,6800,365242.843679575,352714.115813873,45.5,BCM1FUT
361240:8317,33:33,10/28/22 03:35:18,STABLE BEAMS,6800,365164.169800259,350600.970381606,45.5,BCM1FUT
361240:8317,34:34,10/28/22 03:35:41,STABLE BEAMS,6800,365065.238853942,353431.878011808,45.5,BCM1FUT
361240:8317,35:35,10/28/22 03:36:04,STABLE BEAMS,6800,364921.131617814,352362.099739338,45.5,BCM1FUT
361240:8317,36:36,10/28/22 03:36:28,STABLE BEAMS,6800,364806.419274076,354965.610719843,45.4,BCM1FUT
361240:8317,37:37,10/28/22 03:36:51,STABLE BEAMS,6800,364731.428497851,349337.735953745,45.4,BCM1FUT
